message_id,timestamp,datetime,user_name,user_id,text,attachments,likes,group_id,source
174618552067924979,1746185520,2025-05-02T06:32:00,Twag Daddy,63896632,No,0,1,52459104,unknown
174616099485346239,1746160994,2025-05-01T23:43:14,Twag Daddy,63896632,^^,0,0,52459104,unknown
174616089810293959,1746160898,2025-05-01T23:41:38,Twag Daddy,63896632,WISELY*,0,1,52459104,unknown
174616088917095546,1746160889,2025-05-01T23:41:29,Twag Daddy,63896632,CONISIDER YOUR DECISIONS WISDELU,0,1,52459104,unknown
174616087526989900,1746160875,2025-05-01T23:41:15,Twag Daddy,63896632,IF THERE ARE LESS THAN 20 PEOPLE WT TSILHSYR I WILL HAVE A HEART ATTEAK AND DIE,0,3,52459104,unknown
174616084717295245,1746160847,2025-05-01T23:40:47,Twag Daddy,63896632,^^,0,0,52459104,unknown
174614700421304289,1746147004,2025-05-01T19:50:04,Twag Daddy,63896632,BE THERE OR I WILL CRY BECAUSE I WILL NEVER SEE YOU AGAIN,0,1,52459104,unknown
174613201069727702,1746132010,2025-05-01T15:40:10,Twag Daddy,63896632,Twag Daddy created event 'Graduation Tailgate',1,0,52459104,unknown
174578786081689775,1745787860,2025-04-27T16:04:20,Twag Daddy,63896632,For reference Rocky’s is pretty chill on fake ids,0,0,52459104,unknown
174519531453396287,1745195314,2025-04-20T19:28:34,Twag Daddy,63896632,@James-White-1580 do not pay Mia for date auction,0,0,52459104,unknown
174518220617980000,1745182206,2025-04-20T15:50:06,Twag Daddy,63896632,"Some dumbass (me) never sent out the totals for date auction, please pay if you haven't already",0,0,52459104,unknown
174518218274779105,1745182182,2025-04-20T15:49:42,Twag Daddy,63896632,https://docs.google.com/spreadsheets/d/10CTnWX8k9CxrLzFtLPhqzG_33Z0iC1XrxyFWrefN0g4/edit?usp=sharing,0,0,52459104,unknown
174506985307854188,1745069853,2025-04-19T08:37:33,Twag Daddy,63896632,GREAT PARTY EVERYONE THABK TOU FOR MAKING MY LAST SWIM CLUB RAGER AMAZING PLEASE COME TO CLEANUP AND ALSO PAY SLUSH I WILL BE VERY SAD IF YOU DO NOT,0,11,52459104,unknown
174502537825776499,1745025378,2025-04-18T20:16:18,Twag Daddy,63896632,Please Venmo 5 dollars @james-white-1580 if you’re drinking,1,0,52459104,unknown
174502499661402800,1745024996,2025-04-18T20:09:56,Twag Daddy,63896632,The eggs function as ices if you see one you have to drink it,0,0,52459104,unknown
174502433740467756,1745024337,2025-04-18T19:58:57,Twag Daddy,63896632,"There are two golden eggs, bring me one for a special prize",0,0,52459104,unknown
